ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,MGMT_NUM,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,MANUFACTURER,COUNT_BABY_SWING,COUNT_SR_SWING,COUNT_HANDICAP_SWING,COUNT_TIRE_SWING,COUNT_SAUCER_SWING,COUNT_PONY_SWING,INCLUSIVE,EQUIPMENT_AGE_CLASS,POINT
,MPK538,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,360538,7,TEETER TOTTER SEESAW,STANDING TEETER,,,,,,,,,SENIOR,POINT (-113.9545595 51.0598962)
,ACA204,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,SENIOR,POINT (-114.0458493 50.9744889)
INSTALL DT BASED ON RULES DEVELOPED 2016/05/17-SEE GIS MANUAL-INSTALL_DT ATTRIBUTES SECTION;XX ACR 2 RIVER RAFT,LPK546,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,MULTI PONDO,GAMETIME,,,,,,,NO,JUNIOR,POINT (-114.1362088 51.0156362)
UNSURE OF ASSET TYPE; UPDATE VIA PG INSPECTIONS,HIL056,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,5,SPINNING TOY,SPINNING POLE,,,,,,,,,,POINT (-114.0913538 51.0581211)
,ACA199,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,320199,1,SWING,NO BREAKDOWN,,0,2,0,0,0,0,,COMBINED,POINT (-114.0516627 50.9786036)
2011 PARKS FOUNDATION,WES099,,CALGARY PARKS,CALGARY PARKS,SENIOR; RAMP IS INCLUSIVE,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,DYNAMO,,,,,,,NO,SENIOR,POINT (-113.9697976 51.102771)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,RSN014,,CALGARY PARKS,CALGARY PARKS,ERGONOMIC BIKE,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9546951 51.1705558)
,CSC003,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,,POINT (-113.9603561 51.1467458)
QUAD,ABB561,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,360561,15,SPRING TOY,VEHICLE,LITTLE TIKES,,,,,,,,JUNIOR,POINT (-113.9320884 51.0618507)
XX ACR 2,ASP501,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LITTLE TIKES,,,,,,,NO,COMBINED,POINT (-114.1927564 51.0432333)
,BOW210,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,120210,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.1779061 51.0804854)
,EVN026,32 EVANSGLEN PA NW,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,BILLY GOAT BRIDGE,,,,,,,,,,POINT (-114.0973878 51.1784335)
,WHI009,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,140009,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,SENIOR,POINT (-113.9647008 51.0845519)
DINOSAUR,WIN803,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,130803,4,STATIONARY TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.0489998 51.0810265)
,RIV875,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,350875,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,COMBINED,POINT (-114.0114445 50.969266)
,BDO454,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,NO,,POINT (-114.0341388 50.9460659)
,TAR120,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,140120,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-113.9375393 51.1118558)
,EAG021,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,310021,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-114.0995327 50.9846107)
,RUN271,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,160271,12,DIGGING TOY,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-113.9685016 51.0759632)
,COA789,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,LITTLE TIKES,1,1,0,0,0,0,NO,COMBINED,POINT (-114.1836868 51.0550531)
,SIL251,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120251,7,TEETER TOTTER SEESAW,FULCRUM,,,,,,,,,COMBINED,POINT (-114.1845603 51.1042752)
HELICOPTER,WOO311,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,310311,3,CLIMBER,VERTICAL LADDER CLIMBER,,,,,,,,,SENIOR,POINT (-114.1135562 50.934624)
,SOW207,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,310224,1,SWING,NO BREAKDOWN,BLUE IMP,2,0,0,0,0,0,,JUNIOR,POINT (-114.0787129 50.9532109)
,EDG155,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,COMBINED,POINT (-114.1393635 51.1306476)
,VAR145,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120145,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,COMBINED,POINT (-114.1621361 51.0953322)
,CRA007,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,7,TEETER TOTTER SEESAW,SPRING TEETER,GAMETIME,,,,,,,,JUNIOR,POINT (-113.9788932 50.8696031)
WAVY STICK THICKET; 2013/12/13: CHANGED STATUS BACK TO PLANNED; STILL WITH DEVELOPER-CMLC,DNE116,,CALGARY PARKS,DEVELOPER CONSTRUCTION,CMLC PROJECT,INSTALLED,,6,CLIMBING WALL STRUCTURE,NO BREAKDOWN,,,,,,,,,,POINT (-114.0476685 51.0463036)
,SGH002,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,1,,,,,,JUNIOR,POINT (-114.1429515 51.1770383)
,WAL043,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,SENIOR,POINT (-114.0350326 50.8740868)
,BLM004,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,BILLY GOAT BRIDGE,,,,,,,,NO,SENIOR,POINT (-114.0682867 50.8672089)
VIP,BED613,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,150613,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.059745 51.1286806)
,BRE394,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,4,STATIONARY TOY,VEHICLE,HENDERSON,,,,,,,NO,JUNIOR,POINT (-114.1286293 51.0885927)
,THO762,,CALGARY PARKS,CALGARY PARKS,TANDEM,ACTIVE,,1,SWING,NO BREAKDOWN,,1,1,,,,,NO,,POINT (-114.0519308 51.1061475)
,SPH015,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440015,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1974706 51.018726)
,BED605,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,150605,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-114.0785661 51.1335597)
,SIL269,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,120269,1,SWING,NO BREAKDOWN,,2,0,0,0,0,0,,JUNIOR,POINT (-114.2042646 51.1126269)
,GPK704,,CALGARY PARKS,CALGARY PARKS,BEE SIGN,ACTIVE,,4,STATIONARY TOY,PLAY SIGN,GAME TIME,,,,,,,,COMBINED,POINT (-114.1379661 50.9919514)
,FAL086,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9468884 51.1048346)
HORSEY RIDER,PAT826,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,15,SPRING TOY,ANIMAL,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1779046 51.0619744)
,HSN010,36 CRIMSON RIDGE HT NW,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,,,POINT (-114.2594093 51.108135)
,RAM415,,CALGARY PARKS,DEVELOPER CONSTRUCTION,DRUMS,INSTALLED,,4,STATIONARY TOY,PLAY PANEL,,,,,,,,NO,,POINT (-114.043679 51.0408357)
,EDG124,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,170124,2,SLIDE,SPIRAL SLIDE,,,,,,,,,SENIOR,POINT (-114.1610604 51.125055)
,RVW002,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,,POINT (-113.9252533 50.8724742)
,LKV526,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,440526,7,TEETER TOTTER SEESAW,SPRING TEETER,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.1275097 50.9984235)
METAL,GBK609,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440609,2,SLIDE,STRAIGHT SLIDE,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1558807 51.024165)
,RIV866,,CALGARY PARKS,CALGARY PARKS,SENIOR; DRIVER PANEL,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,PLAYCRAFT,,,,,,,,SENIOR,POINT (-114.0141638 50.9704613)
ACR 3 FL ACR 3,ING018,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,420018,7,TEETER TOTTER SEESAW,SPRING TEETER,LITTLE TIKES,,,,,,,,JUNIOR,POINT (-114.0323037 51.0380472)
,CNS011,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,NO,,POINT (-113.9406145 51.1597217)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,NGM528,,CALGARY PARKS,CALGARY PARKS,AI-CHI WHEELS; 2017/04/27: COMMUNITY ASSOCIATION INITATIVE,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.1128508 50.9982403)
,PEN578,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,360578,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-113.9453837 51.0413113)
,PAN090,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.0949404 51.1684959)
ANIMAL - FROG,QPK880,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,130880,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.0804273 51.0873886)
,CPF867,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,3,CLIMBER,DOME NET OR WEB CLIMBER,,,,,,,,,JUNIOR,POINT (-113.9289889 50.9168493)
XX ACR 2 PONY,SCE273,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,15,SPRING TOY,ANIMAL,LITTLE TIKES,,,,,,,NO,COMBINED,POINT (-114.2076126 51.1201484)
,HAW012,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,12,DIGGING TOY,NO BREAKDOWN,BLUE IMP,,,,,,,NO,JUNIOR,POINT (-114.1881046 51.1307895)
,GRE012,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,HORIZONTAL CLIMBER,,,,,,,,NO,,POINT (-114.2130967 51.0876089)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,VAR125,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.140145 51.0861943)
,GDL611,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440611,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1470199 51.0291686)
XX ACR 2,CPF864,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,BLUE IMP,2,,,,,,,COMBINED,POINT (-113.931923 50.914746)
METAL,MID375,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,330375,3,CLIMBER,BILLY GOAT BRIDGE,,,,,,,,,SENIOR,POINT (-114.0429497 50.9112389)
"WHIRLWIND SEAT
XX ACR 2",OGD790,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,,,,,,,,,COMBINED,POINT (-114.016921 51.0003159)
METAL,RIC700,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,440700,3,CLIMBER,BILLY GOAT BRIDGE,LITTLE TIKES,,,,,,,NO,COMBINED,POINT (-114.1238273 51.0241552)
METAL,LKB464,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,320464,12,DIGGING TOY,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-114.0405067 50.9322531)
,NOL006,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-114.1723507 51.1726746)
,MCK664,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,340664,7,TEETER TOTTER SEESAW,SPRING TEETER,LITTLE TIKES,,,,,,,,JUNIOR,POINT (-113.9850429 50.9295255)
,CIT362,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110362,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,JUNIOR,POINT (-114.174501 51.1429099)
HORSE,ERI836,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,350836,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-113.9635209 51.0201972)
ACR 3,CLI269,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,420269,2,SLIDE,SPIRAL SLIDE,BLUE IMP,,,,,,,,SENIOR,POINT (-114.0745279 51.0314332)
,HOU484,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,7,TEETER TOTTER SEESAW,SPRING TEETER,,,,,,,,,SENIOR,POINT (-114.1101556 51.0643964)
,CAN341,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,310341,15,SPRING TOY,VEHICLE,,,,,,,,,JUNIOR,POINT (-114.0732053 50.9409116)
,COR373,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,VEHICLE,,,,,,,,,JUNIOR,POINT (-113.9243821 51.1086388)
,SIL266,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120266,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-114.1929632 51.1152642)
,LEG002,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,15,SPRING TOY,MULTI BOUNCE,KIDNATION,,,,,,,,,POINT (-114.013259 50.8573579)
,MAL505,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,7,TEETER TOTTER SEESAW,FULCRUM,,,,,,,,,SENIOR,POINT (-114.0195942 51.0639445)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,SET013,,CALGARY PARKS,CALGARY PARKS,ANGLED OVERHEAD HANGER,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9489302 50.8664364)
LOG ROLL,DDG595,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,10,LOG ROLL,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.0115198 50.9475227)
,SET017,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,NOT INDICATED ON PLANS,,,,,,,NO,,POINT (-113.9559576 50.8673802)
,SPH902,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,440902,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LITTLE TIKES,,,,,,,NO,COMBINED,POINT (-114.2191127 51.0330763)
,LKV502,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440502,1,SWING,NO BREAKDOWN,BLUE IMP,0,0,0,1,0,0,,SENIOR,POINT (-114.1324444 50.9919422)
,GLR003,33 EDITH VW NW,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,,,,,,,,,,,POINT (-114.1699354 51.1875642)
,EVN028,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,3,CLIMBER,BOULDER,HABITAT SYSTEM INC,,,,,,,,,POINT (-114.1141715 51.1817473)
,TAR130,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9288987 51.1136365)
,DDG747,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-113.9781872 50.937165)
VIP,LKB479,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,320479,9,MULTI PLAY COMPLEX,NO BREAKDOWN,BLUE IMP,,,,,,,,JUNIOR,POINT (-114.0569798 50.9375304)
,WBN419,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,310419,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LITTLE TIKES,,,,,,,,COMBINED,POINT (-114.1352496 50.9394023)
,LEG045,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,2,,,,,,COMBINED,POINT (-114.0001841 50.8549015)
,MAL505,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,4,STATIONARY TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.019534 51.0640096)
,THO702,,CALGARY PARKS,CALGARY PARKS,MUSICAL FLOWERS,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,,,,,,,,YES,,POINT (-114.0617093 51.1001987)
,WOO352,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,5,SPINNING TOY,SPINNING POLE,BLUE IMP,,,,,,,,,POINT (-114.1157816 50.946852)
,WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,GAMETIME,,,,,,,YES,,POINT (-114.156648 51.0622256)
,MAC797,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,,GAME TIME MANUFACTURER,1,1,,,,,,,POINT (-114.1160521 51.1415168)
,HAR778,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,150778,12,DIGGING TOY,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.0619552 51.1503113)
,CRA025,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,340025,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,SENIOR,POINT (-113.9779682 50.8952484)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,RSN014,,CALGARY PARKS,CALGARY PARKS,LATERAL PULL,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9530713 51.1705352)
,RAN027,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110027,2,SLIDE,STRAIGHT SLIDE,,,,,,,,,JUNIOR,POINT (-114.1991377 51.1213253)
,SCE437,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120437,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,NO,COMBINED,POINT (-114.2153448 51.1251618)
CHANGE MAINTAINED_BY,HIW859,,CALGARY PARKS,CALGARY PARKS,SENIOR; LEASE BOUNDARY REVISED TO EXCLUDE PG 2012,ACTIVE,130859,3,CLIMBER,HORIZONTAL CLIMBER,BELAIR,,,,,,,,SENIOR,POINT (-114.0773827 51.0906043)
JEEP,RAM023,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,420023,3,CLIMBER,RIBBON SPIRAL CLIMBER,,,,,,,,,JUNIOR,POINT (-114.0457943 51.0346922)
,EDG143,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,6,CLIMBING WALL STRUCTURE,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.1479753 51.1140908)
,EVN028,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,9,MULTI PLAY COMPLEX,NO BREAKDOWN,HABITAT SYSTEM INC,,,,,,,,,POINT (-114.114932 51.1819842)
,MCT802,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,340802,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,COMBINED,POINT (-113.9729908 50.9146279)
,GBK590,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,440600,7,TEETER TOTTER SEESAW,FULCRUM,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1547907 51.0204656)
DINOSAUR,SHW821,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110821,3,CLIMBER,ANIMAL CLIMBER,,,,,,,,,JUNIOR,POINT (-114.1512854 51.1605827)
,BED596,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,150596,2,SLIDE,STRAIGHT SLIDE,BLUE IMP,,,,,,,,SENIOR,POINT (-114.0959543 51.1279396)
ACR 3,DIS100,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,440100,9,MULTI PLAY COMPLEX,NO BREAKDOWN,LITTLE TIKES,,,,,,,NO,COMBINED,POINT (-114.22644 51.0178089)
XX ACR 2,MOR382,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,1,,,,,,COMBINED,POINT (-113.9335443 51.0826239)
,CPF002,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,3,CLIMBER,ARCHED CLIMBER,,,,,,,,,SENIOR,POINT (-113.9228717 50.9177685)
,DAL096,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,170096,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,NO,COMBINED,POINT (-114.150995 51.1021154)
WHALE,RAM023,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,420023,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.0457692 51.034749)
,MPK547,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,360547,1,SWING,NO BREAKDOWN,,1,1,0,0,0,0,,JUNIOR,POINT (-113.9384823 51.0562867)
,RUN265,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,160265,2,SLIDE,STRAIGHT SLIDE,,,,,,,,,SENIOR,POINT (-113.9688931 51.0695437)
ACR 3,DIS100,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,440100,1,SWING,NO BREAKDOWN,LITTLE TIKES,1,1,0,0,0,0,NO,COMBINED,POINT (-114.2265415 51.017817)
,VAR145,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120145,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,COMBINED,POINT (-114.1601082 51.0962563)
3,VAR456,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,120245,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.1652739 51.0873914)
,WLD050,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,430050,1,SWING,NO BREAKDOWN,BLUE IMP,2,0,0,0,0,0,NO,JUNIOR,POINT (-114.1569204 51.0637847)
HORIZONTAL LADDER,RAN030,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,110030,3,CLIMBER,HORIZONTAL CLIMBER,BLUE IMP,,,,,,,NO,SENIOR,POINT (-114.1861041 51.1197034)
DINOSAUR,RUN259,,CALGARY PARKS,CALGARY PARKS AND SCHOOL,JUNIOR,ACTIVE,160259,4,STATIONARY TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-113.9620781 51.0751834)
XX ASSET IS A STATIONARY MUSHROOM TOY,CRA002,,CALGARY PARKS,CALGARY PARKS,CUSTOM MUSHROOM SEAT,ACTIVE,,4,STATIONARY TOY,TO BE IDENTIFIED,HABITAT,,,,,,,,,POINT (-113.9861334 50.8745612)
,ROY303,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,2,SLIDE,STRAIGHT SLIDE,,,,,,,,,JUNIOR,POINT (-114.2116214 51.1461909)
,MLR409,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,330409,15,SPRING TOY,VEHICLE,,,,,,,,,JUNIOR,POINT (-114.0960595 50.91777)
,VIS254,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,VEHICLE,,,,,,,,,JUNIOR,POINT (-114.010053 51.0714111)
,HUN531,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,GAME TIME,,,,,,,,,POINT (-114.0653451 51.1248581)
,CRA136,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,340023,9,MULTI PLAY COMPLEX,NO BREAKDOWN,GAMETIME,,,,,,,,JUNIOR,POINT (-113.9838081 50.8904734)
,WHL489,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,,8,TRACK RIDE,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.1160763 51.0576194)
,MPK543,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,360543,1,SWING,NO BREAKDOWN,BLUE IMP,1,1,0,0,0,0,,SENIOR,POINT (-113.9496329 51.0651761)
,CPF003,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,,1,SWING,NO BREAKDOWN,,1,3,,,,,,COMBINED,POINT (-113.9313421 50.9244657)
,ABB571,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,,,2,,,,,NO,,POINT (-113.9322859 51.051132)
,DDG757,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,340757,1,SWING,NO BREAKDOWN,,2,2,0,0,0,0,,COMBINED,POINT (-113.9880655 50.9334811)
